,0.01,0.05,0.1
31,"{2: 3.881, 3: 4.443, 4: 4.786, 5: 5.032, 6: 5.225, 7: 5.383, 8: 5.517, 9: 5.633, 10: 5.736, 11: 5.827, 12: 5.91, 13: 5.985, 14: 6.055, 15: 6.119, 16: 6.178, 17: 6.234, 18: 6.286, 19: 6.335, 20: 6.381}","{2: 2.884, 3: 3.481, 4: 3.838, 5: 4.094, 6: 4.292, 7: 4.454, 8: 4.591, 9: 4.709, 10: 4.812, 11: 4.905, 12: 4.988, 13: 5.064, 14: 5.134, 15: 5.198, 16: 5.257, 17: 5.313, 18: 5.365, 19: 5.414, 20: 5.46}","{2: 2.398, 3: 3.013, 4: 3.381, 5: 3.642, 6: 3.845, 7: 4.009, 8: 4.148, 9: 4.268, 10: 4.372, 11: 4.466, 12: 4.55, 13: 4.626, 14: 4.696, 15: 4.76, 16: 4.82, 17: 4.876, 18: 4.928, 19: 4.977, 20: 5.023}"
32,"{2: 3.873, 3: 4.433, 4: 4.773, 5: 5.018, 6: 5.21, 7: 5.367, 8: 5.5, 9: 5.615, 10: 5.716, 11: 5.807, 12: 5.889, 13: 5.964, 14: 6.033, 15: 6.096, 16: 6.155, 17: 6.211, 18: 6.262, 19: 6.311, 20: 6.357}","{2: 2.881, 3: 3.475, 4: 3.832, 5: 4.086, 6: 4.284, 7: 4.445, 8: 4.581, 9: 4.698, 10: 4.802, 11: 4.894, 12: 4.976, 13: 5.052, 14: 5.121, 15: 5.185, 16: 5.244, 17: 5.299, 18: 5.351, 19: 5.4, 20: 5.445}","{2: 2.396, 3: 3.01, 4: 3.376, 5: 3.637, 6: 3.839, 7: 4.003, 8: 4.141, 9: 4.26, 10: 4.365, 11: 4.458, 12: 4.541, 13: 4.617, 14: 4.687, 15: 4.751, 16: 4.811, 17: 4.866, 18: 4.918, 19: 4.967, 20: 5.013}"
33,"{2: 3.865, 3: 4.423, 4: 4.761, 5: 5.005, 6: 5.195, 7: 5.351, 8: 5.483, 9: 5.598, 10: 5.698, 11: 5.789, 12: 5.87, 13: 5.944, 14: 6.013, 15: 6.076, 16: 6.134, 17: 6.189, 18: 6.24, 19: 6.289, 20: 6.334}","{2: 2.877, 3: 3.47, 4: 3.825, 5: 4.079, 6: 4.276, 7: 4.436, 8: 4.572, 9: 4.689, 10: 4.791, 11: 4.883, 12: 4.965, 13: 5.04, 14: 5.109, 15: 5.173, 16: 5.232, 17: 5.287, 18: 5.338, 19: 5.386, 20: 5.432}","{2: 2.393, 3: 3.006, 4: 3.372, 5: 3.632, 6: 3.833, 7: 3.997, 8: 4.135, 9: 4.253, 10: 4.357, 11: 4.45, 12: 4.533, 13: 4.609, 14: 4.679, 15: 4.743, 16: 4.802, 17: 4.857, 18: 4.909, 19: 4.957, 20: 5.003}"
34,"{2: 3.859, 3: 4.413, 4: 4.75, 5: 4.992, 6: 5.181, 7: 5.336, 8: 5.468, 9: 5.581, 10: 5.682, 11: 5.771, 12: 5.852, 13: 5.926, 14: 5.994, 15: 6.056, 16: 6.114, 17: 6.169, 18: 6.22, 19: 6.268, 20: 6.313}","{2: 2.874, 3: 3.465, 4: 3.82, 5: 4.072, 6: 4.268, 7: 4.428, 8: 4.563, 9: 4.68, 10: 4.782, 11: 4.873, 12: 4.955, 13: 5.03, 14: 5.098, 15: 5.161, 16: 5.22, 17: 5.275, 18: 5.326, 19: 5.374, 20: 5.42}","{2: 2.391, 3: 3.003, 4: 3.368, 5: 3.627, 6: 3.828, 7: 3.991, 8: 4.129, 9: 4.247, 10: 4.351, 11: 4.443, 12: 4.526, 13: 4.602, 14: 4.671, 15: 4.734, 16: 4.794, 17: 4.849, 18: 4.9, 19: 4.949, 20: 4.994}"
35,"{2: 3.852, 3: 4.404, 4: 4.739, 5: 4.98, 6: 5.169, 7: 5.323, 8: 5.453, 9: 5.566, 10: 5.666, 11: 5.755, 12: 5.835, 13: 5.908, 14: 5.976, 15: 6.038, 16: 6.096, 17: 6.15, 18: 6.2, 19: 6.248, 20: 6.293}","{2: 2.871, 3: 3.461, 4: 3.814, 5: 4.066, 6: 4.261, 7: 4.421, 8: 4.555, 9: 4.671, 10: 4.773, 11: 4.863, 12: 4.945, 13: 5.02, 14: 5.088, 15: 5.151, 16: 5.209, 17: 5.264, 18: 5.315, 19: 5.362, 20: 5.408}","{2: 2.389, 3: 3.0, 4: 3.364, 5: 3.623, 6: 3.823, 7: 3.986, 8: 4.123, 9: 4.241, 10: 4.344, 11: 4.436, 12: 4.519, 13: 4.594, 14: 4.663, 15: 4.727, 16: 4.786, 17: 4.841, 18: 4.892, 19: 4.94, 20: 4.986}"
36,"{2: 3.846, 3: 4.396, 4: 4.729, 5: 4.969, 6: 5.156, 7: 5.31, 8: 5.439, 9: 5.552, 10: 5.651, 11: 5.739, 12: 5.819, 13: 5.892, 14: 5.959, 15: 6.021, 16: 6.078, 17: 6.132, 18: 6.182, 19: 6.229, 20: 6.274}","{2: 2.868, 3: 3.457, 4: 3.809, 5: 4.06, 6: 4.255, 7: 4.414, 8: 4.547, 9: 4.663, 10: 4.764, 11: 4.855, 12: 4.936, 13: 5.01, 14: 5.078, 15: 5.141, 16: 5.199, 17: 5.253, 18: 5.304, 19: 5.352, 20: 5.397}","{2: 2.388, 3: 2.998, 4: 3.361, 5: 3.619, 6: 3.819, 7: 3.981, 8: 4.117, 9: 4.235, 10: 4.338, 11: 4.43, 12: 4.512, 13: 4.588, 14: 4.656, 15: 4.72, 16: 4.778, 17: 4.833, 18: 4.884, 19: 4.932, 20: 4.978}"
37,"{2: 3.84, 3: 4.388, 4: 4.72, 5: 4.959, 6: 5.145, 7: 5.298, 8: 5.427, 9: 5.538, 10: 5.637, 11: 5.725, 12: 5.804, 13: 5.876, 14: 5.943, 15: 6.004, 16: 6.061, 17: 6.115, 18: 6.165, 19: 6.212, 20: 6.256}","{2: 2.865, 3: 3.453, 4: 3.804, 5: 4.054, 6: 4.249, 7: 4.407, 8: 4.54, 9: 4.655, 10: 4.756, 11: 4.846, 12: 4.927, 13: 5.001, 14: 5.069, 15: 5.131, 16: 5.189, 17: 5.243, 18: 5.294, 19: 5.341, 20: 5.386}","{2: 2.386, 3: 2.995, 4: 3.357, 5: 3.615, 6: 3.814, 7: 3.976, 8: 4.112, 9: 4.23, 10: 4.332, 11: 4.424, 12: 4.506, 13: 4.581, 14: 4.65, 15: 4.713, 16: 4.771, 17: 4.826, 18: 4.877, 19: 4.925, 20: 4.97}"
38,"{2: 3.835, 3: 4.381, 4: 4.711, 5: 4.949, 6: 5.134, 7: 5.286, 8: 5.414, 9: 5.526, 10: 5.623, 11: 5.711, 12: 5.79, 13: 5.862, 14: 5.928, 15: 5.989, 16: 6.046, 17: 6.099, 18: 6.148, 19: 6.195, 20: 6.239}","{2: 2.863, 3: 3.449, 4: 3.799, 5: 4.049, 6: 4.243, 7: 4.4, 8: 4.533, 9: 4.648, 10: 4.749, 11: 4.838, 12: 4.919, 13: 4.993, 14: 5.06, 15: 5.122, 16: 5.18, 17: 5.234, 18: 5.284, 19: 5.331, 20: 5.376}","{2: 2.384, 3: 2.992, 4: 3.354, 5: 3.611, 6: 3.81, 7: 3.972, 8: 4.107, 9: 4.224, 10: 4.327, 11: 4.418, 12: 4.5, 13: 4.575, 14: 4.643, 15: 4.706, 16: 4.765, 17: 4.819, 18: 4.87, 19: 4.918, 20: 4.963}"
39,"{2: 3.83, 3: 4.374, 4: 4.703, 5: 4.94, 6: 5.124, 7: 5.275, 8: 5.403, 9: 5.513, 10: 5.611, 11: 5.698, 12: 5.776, 13: 5.848, 14: 5.914, 15: 5.974, 16: 6.031, 17: 6.084, 18: 6.133, 19: 6.179, 20: 6.223}","{2: 2.861, 3: 3.445, 4: 3.795, 5: 4.044, 6: 4.237, 7: 4.394, 8: 4.527, 9: 4.641, 10: 4.741, 11: 4.831, 12: 4.911, 13: 4.985, 14: 5.052, 15: 5.114, 16: 5.171, 17: 5.225, 18: 5.275, 19: 5.322, 20: 5.367}","{2: 2.383, 3: 2.99, 4: 3.351, 5: 3.608, 6: 3.806, 7: 3.967, 8: 4.103, 9: 4.22, 10: 4.322, 11: 4.413, 12: 4.495, 13: 4.569, 14: 4.637, 15: 4.7, 16: 4.758, 17: 4.812, 18: 4.863, 19: 4.911, 20: 4.956}"
40,"{2: 3.825, 3: 4.367, 4: 4.695, 5: 4.931, 6: 5.114, 7: 5.265, 8: 5.392, 9: 5.502, 10: 5.599, 11: 5.685, 12: 5.764, 13: 5.835, 14: 5.9, 15: 5.961, 16: 6.017, 17: 6.069, 18: 6.118, 19: 6.165, 20: 6.208}","{2: 2.858, 3: 3.442, 4: 3.791, 5: 4.039, 6: 4.232, 7: 4.388, 8: 4.521, 9: 4.634, 10: 4.735, 11: 4.824, 12: 4.904, 13: 4.977, 14: 5.044, 15: 5.106, 16: 5.163, 17: 5.216, 18: 5.266, 19: 5.313, 20: 5.358}","{2: 2.381, 3: 2.988, 4: 3.348, 5: 3.605, 6: 3.802, 7: 3.963, 8: 4.099, 9: 4.215, 10: 4.317, 11: 4.408, 12: 4.49, 13: 4.564, 14: 4.632, 15: 4.694, 16: 4.752, 17: 4.806, 18: 4.857, 19: 4.904, 20: 4.949}"
48,"{2: 3.793, 3: 4.324, 4: 4.644, 5: 4.874, 6: 5.052, 7: 5.198, 8: 5.322, 9: 5.428, 10: 5.522, 11: 5.606, 12: 5.681, 13: 5.75, 14: 5.814, 15: 5.872, 16: 5.926, 17: 5.977, 18: 6.024, 19: 6.069, 20: 6.111}","{2: 2.843, 3: 3.42, 4: 3.764, 5: 4.008, 6: 4.197, 7: 4.351, 8: 4.481, 9: 4.592, 10: 4.69, 11: 4.777, 12: 4.856, 13: 4.927, 14: 4.993, 15: 5.053, 16: 5.109, 17: 5.161, 18: 5.21, 19: 5.256, 20: 5.299}","{2: 2.372, 3: 2.973, 4: 3.33, 5: 3.583, 6: 3.778, 7: 3.937, 8: 4.07, 9: 4.185, 10: 4.285, 11: 4.375, 12: 4.455, 13: 4.528, 14: 4.595, 15: 4.656, 16: 4.713, 17: 4.766, 18: 4.816, 19: 4.863, 20: 4.907}"
60,"{2: 3.762, 3: 4.282, 4: 4.594, 5: 4.818, 6: 4.991, 7: 5.133, 8: 5.253, 9: 5.356, 10: 5.447, 11: 5.528, 12: 5.601, 13: 5.667, 14: 5.728, 15: 5.784, 16: 5.837, 17: 5.886, 18: 5.931, 19: 5.974, 20: 6.015}","{2: 2.829, 3: 3.399, 4: 3.737, 5: 3.977, 6: 4.163, 7: 4.314, 8: 4.441, 9: 4.55, 10: 4.646, 11: 4.732, 12: 4.808, 13: 4.878, 14: 4.942, 15: 5.001, 16: 5.056, 17: 5.107, 18: 5.154, 19: 5.199, 20: 5.241}","{2: 2.363, 3: 2.959, 4: 3.312, 5: 3.562, 6: 3.755, 7: 3.911, 8: 4.042, 9: 4.155, 10: 4.254, 11: 4.342, 12: 4.421, 13: 4.493, 14: 4.558, 15: 4.619, 16: 4.675, 17: 4.727, 18: 4.775, 19: 4.821, 20: 4.864}"
80,"{2: 3.732, 3: 4.241, 4: 4.545, 5: 4.763, 6: 4.931, 7: 5.069, 8: 5.185, 9: 5.284, 10: 5.372, 11: 5.451, 12: 5.521, 13: 5.585, 14: 5.644, 15: 5.698, 16: 5.749, 17: 5.796, 18: 5.84, 19: 5.881, 20: 5.92}","{2: 2.814, 3: 3.377, 4: 3.711, 5: 3.947, 6: 4.129, 7: 4.277, 8: 4.402, 9: 4.509, 10: 4.603, 11: 4.686, 12: 4.761, 13: 4.829, 14: 4.892, 15: 4.949, 16: 5.003, 17: 5.052, 18: 5.099, 19: 5.142, 20: 5.183}","{2: 2.353, 3: 2.945, 4: 3.294, 5: 3.541, 6: 3.731, 7: 3.885, 8: 4.014, 9: 4.125, 10: 4.223, 11: 4.309, 12: 4.387, 13: 4.457, 14: 4.521, 15: 4.581, 16: 4.636, 17: 4.687, 18: 4.735, 19: 4.78, 20: 4.822}"
120,"{2: 3.702, 3: 4.2, 4: 4.497, 5: 4.709, 6: 4.872, 7: 5.005, 8: 5.118, 9: 5.214, 10: 5.299, 11: 5.375, 12: 5.443, 13: 5.505, 14: 5.561, 15: 5.614, 16: 5.662, 17: 5.708, 18: 5.75, 19: 5.79, 20: 5.827}","{2: 2.8, 3: 3.356, 4: 3.685, 5: 3.917, 6: 4.096, 7: 4.241, 8: 4.363, 9: 4.468, 10: 4.56, 11: 4.641, 12: 4.714, 13: 4.781, 14: 4.842, 15: 4.898, 16: 4.95, 17: 4.998, 18: 5.043, 19: 5.086, 20: 5.126}","{2: 2.344, 3: 2.93, 4: 3.276, 5: 3.52, 6: 3.707, 7: 3.859, 8: 3.986, 9: 4.096, 10: 4.191, 11: 4.276, 12: 4.353, 13: 4.422, 14: 4.485, 15: 4.543, 16: 4.597, 17: 4.647, 18: 4.694, 19: 4.738, 20: 4.779}"
240,"{2: 3.672, 3: 4.16, 4: 4.45, 5: 4.655, 6: 4.814, 7: 4.943, 8: 5.052, 9: 5.145, 10: 5.227, 11: 5.3, 12: 5.366, 13: 5.426, 14: 5.48, 15: 5.53, 16: 5.577, 17: 5.621, 18: 5.661, 19: 5.699, 20: 5.735}","{2: 2.786, 3: 3.335, 4: 3.659, 5: 3.887, 6: 4.063, 7: 4.205, 8: 4.324, 9: 4.427, 10: 4.517, 11: 4.596, 12: 4.668, 13: 4.733, 14: 4.792, 15: 4.847, 16: 4.897, 17: 4.944, 18: 4.988, 19: 5.03, 20: 5.069}","{2: 2.335, 3: 2.916, 4: 3.258, 5: 3.499, 6: 3.684, 7: 3.834, 8: 3.959, 9: 4.066, 10: 4.16, 11: 4.244, 12: 4.319, 13: 4.386, 14: 4.448, 15: 4.505, 16: 4.558, 17: 4.607, 18: 4.653, 19: 4.696, 20: 4.737}"
inf,"{2: 3.643, 3: 4.12, 4: 4.403, 5: 4.603, 6: 4.757, 7: 4.882, 8: 4.987, 9: 5.078, 10: 5.157, 11: 5.227, 12: 5.29, 13: 5.348, 14: 5.4, 15: 5.448, 16: 5.493, 17: 5.535, 18: 5.574, 19: 5.611, 20: 5.645}","{2: 2.772, 3: 3.314, 4: 3.633, 5: 3.858, 6: 4.03, 7: 4.17, 8: 4.286, 9: 4.387, 10: 4.474, 11: 4.552, 12: 4.622, 13: 4.685, 14: 4.743, 15: 4.796, 16: 4.845, 17: 4.891, 18: 4.934, 19: 4.974, 20: 5.012}","{2: 2.326, 3: 2.902, 4: 3.24, 5: 3.478, 6: 3.661, 7: 3.808, 8: 3.931, 9: 4.037, 10: 4.129, 11: 4.211, 12: 4.285, 13: 4.351, 14: 4.412, 15: 4.468, 16: 4.519, 17: 4.568, 18: 4.612, 19: 4.654, 20: 4.694}"
