,0.01,0.05,0.1
11,"{2: 4.392, 3: 5.146, 4: 5.621, 5: 5.97, 6: 6.247, 7: 6.476, 8: 6.671, 9: 6.841, 10: 6.992, 11: 7.127, 12: 7.25, 13: 7.362, 14: 7.464, 15: 7.56, 16: 7.648, 17: 7.731, 18: 7.809, 19: 7.883, 20: 7.952}","{2: 3.113, 3: 3.82, 4: 4.256, 5: 4.574, 6: 4.823, 7: 5.028, 8: 5.202, 9: 5.353, 10: 5.486, 11: 5.605, 12: 5.713, 13: 5.811, 14: 5.901, 15: 5.984, 16: 6.062, 17: 6.134, 18: 6.202, 19: 6.265, 20: 6.325}","{2: 2.54, 3: 3.234, 4: 3.658, 5: 3.965, 6: 4.205, 7: 4.401, 8: 4.567, 9: 4.711, 10: 4.838, 11: 4.951, 12: 5.053, 13: 5.145, 14: 5.231, 15: 5.309, 16: 5.382, 17: 5.45, 18: 5.514, 19: 5.573, 20: 5.63}"
12,"{2: 4.32, 3: 5.046, 4: 5.502, 5: 5.836, 6: 6.101, 7: 6.32, 8: 6.507, 9: 6.67, 10: 6.814, 11: 6.943, 12: 7.06, 13: 7.166, 14: 7.265, 15: 7.356, 16: 7.441, 17: 7.52, 18: 7.594, 19: 7.664, 20: 7.73}","{2: 3.081, 3: 3.773, 4: 4.199, 5: 4.508, 6: 4.75, 7: 4.95, 8: 5.119, 9: 5.265, 10: 5.395, 11: 5.51, 12: 5.615, 13: 5.71, 14: 5.797, 15: 5.878, 16: 5.953, 17: 6.023, 18: 6.089, 19: 6.151, 20: 6.209}","{2: 2.521, 3: 3.204, 4: 3.621, 5: 3.921, 6: 4.156, 7: 4.349, 8: 4.511, 9: 4.652, 10: 4.776, 11: 4.886, 12: 4.986, 13: 5.076, 14: 5.16, 15: 5.236, 16: 5.308, 17: 5.374, 18: 5.436, 19: 5.495, 20: 5.55}"
13,"{2: 4.26, 3: 4.964, 4: 5.404, 5: 5.726, 6: 5.981, 7: 6.192, 8: 6.372, 9: 6.528, 10: 6.666, 11: 6.791, 12: 6.903, 13: 7.006, 14: 7.1, 15: 7.188, 16: 7.269, 17: 7.345, 18: 7.417, 19: 7.484, 20: 7.548}","{2: 3.055, 3: 3.734, 4: 4.151, 5: 4.453, 6: 4.69, 7: 4.884, 8: 5.049, 9: 5.192, 10: 5.318, 11: 5.431, 12: 5.533, 13: 5.625, 14: 5.711, 15: 5.789, 16: 5.862, 17: 5.931, 18: 5.995, 19: 6.055, 20: 6.112}","{2: 2.504, 3: 3.179, 4: 3.589, 5: 3.885, 6: 4.116, 7: 4.304, 8: 4.464, 9: 4.602, 10: 4.724, 11: 4.832, 12: 4.93, 13: 5.019, 14: 5.1, 15: 5.175, 16: 5.245, 17: 5.31, 18: 5.371, 19: 5.429, 20: 5.483}"
14,"{2: 4.21, 3: 4.895, 4: 5.322, 5: 5.634, 6: 5.881, 7: 6.085, 8: 6.258, 9: 6.409, 10: 6.543, 11: 6.663, 12: 6.772, 13: 6.871, 14: 6.962, 15: 7.047, 16: 7.125, 17: 7.199, 18: 7.268, 19: 7.333, 20: 7.394}","{2: 3.033, 3: 3.701, 4: 4.111, 5: 4.407, 6: 4.639, 7: 4.829, 8: 4.99, 9: 5.13, 10: 5.253, 11: 5.364, 12: 5.463, 13: 5.554, 14: 5.637, 15: 5.714, 16: 5.785, 17: 5.852, 18: 5.915, 19: 5.973, 20: 6.029}","{2: 2.491, 3: 3.158, 4: 3.563, 5: 3.854, 6: 4.081, 7: 4.267, 8: 4.424, 9: 4.56, 10: 4.679, 11: 4.786, 12: 4.882, 13: 4.969, 14: 5.05, 15: 5.124, 16: 5.192, 17: 5.256, 18: 5.316, 19: 5.372, 20: 5.426}"
15,"{2: 4.167, 3: 4.836, 4: 5.252, 5: 5.556, 6: 5.796, 7: 5.994, 8: 6.162, 9: 6.309, 10: 6.438, 11: 6.555, 12: 6.66, 13: 6.756, 14: 6.845, 15: 6.927, 16: 7.003, 17: 7.074, 18: 7.141, 19: 7.204, 20: 7.264}","{2: 3.014, 3: 3.673, 4: 4.076, 5: 4.367, 6: 4.595, 7: 4.782, 8: 4.94, 9: 5.077, 10: 5.198, 11: 5.306, 12: 5.403, 13: 5.492, 14: 5.574, 15: 5.649, 16: 5.719, 17: 5.785, 18: 5.846, 19: 5.904, 20: 5.958}","{2: 2.479, 3: 3.14, 4: 3.54, 5: 3.828, 6: 4.052, 7: 4.235, 8: 4.39, 9: 4.524, 10: 4.641, 11: 4.746, 12: 4.841, 13: 4.927, 14: 5.006, 15: 5.079, 16: 5.146, 17: 5.209, 18: 5.268, 19: 5.324, 20: 5.376}"
16,"{2: 4.131, 3: 4.786, 4: 5.192, 5: 5.489, 6: 5.722, 7: 5.915, 8: 6.079, 9: 6.222, 10: 6.348, 11: 6.461, 12: 6.564, 13: 6.658, 14: 6.744, 15: 6.823, 16: 6.897, 17: 6.967, 18: 7.032, 19: 7.093, 20: 7.151}","{2: 2.998, 3: 3.649, 4: 4.046, 5: 4.333, 6: 4.557, 7: 4.741, 8: 4.896, 9: 5.031, 10: 5.15, 11: 5.256, 12: 5.352, 13: 5.439, 14: 5.519, 15: 5.593, 16: 5.662, 17: 5.726, 18: 5.786, 19: 5.843, 20: 5.896}","{2: 2.469, 3: 3.124, 4: 3.52, 5: 3.804, 6: 4.026, 7: 4.207, 8: 4.36, 9: 4.492, 10: 4.608, 11: 4.712, 12: 4.805, 13: 4.89, 14: 4.968, 15: 5.04, 16: 5.106, 17: 5.169, 18: 5.227, 19: 5.282, 20: 5.333}"
17,"{2: 4.099, 3: 4.742, 4: 5.14, 5: 5.43, 6: 5.659, 7: 5.847, 8: 6.007, 9: 6.147, 10: 6.27, 11: 6.38, 12: 6.48, 13: 6.572, 14: 6.656, 15: 6.733, 16: 6.806, 17: 6.873, 18: 6.937, 19: 6.997, 20: 7.053}","{2: 2.984, 3: 3.628, 4: 4.02, 5: 4.303, 6: 4.524, 7: 4.705, 8: 4.858, 9: 4.991, 10: 5.108, 11: 5.212, 12: 5.306, 13: 5.392, 14: 5.471, 15: 5.544, 16: 5.612, 17: 5.675, 18: 5.734, 19: 5.79, 20: 5.842}","{2: 2.46, 3: 3.11, 4: 3.503, 5: 3.784, 6: 4.003, 7: 4.182, 8: 4.334, 9: 4.464, 10: 4.579, 11: 4.681, 12: 4.774, 13: 4.857, 14: 4.934, 15: 5.005, 16: 5.071, 17: 5.133, 18: 5.19, 19: 5.244, 20: 5.295}"
18,"{2: 4.071, 3: 4.703, 4: 5.094, 5: 5.379, 6: 5.603, 7: 5.787, 8: 5.944, 9: 6.081, 10: 6.201, 11: 6.309, 12: 6.407, 13: 6.496, 14: 6.579, 15: 6.655, 16: 6.725, 17: 6.791, 18: 6.854, 19: 6.912, 20: 6.967}","{2: 2.971, 3: 3.609, 4: 3.997, 5: 4.276, 6: 4.494, 7: 4.673, 8: 4.824, 9: 4.955, 10: 5.071, 11: 5.173, 12: 5.266, 13: 5.351, 14: 5.429, 15: 5.501, 16: 5.567, 17: 5.629, 18: 5.688, 19: 5.743, 20: 5.794}","{2: 2.452, 3: 3.098, 4: 3.487, 5: 3.766, 6: 3.984, 7: 4.161, 8: 4.31, 9: 4.44, 10: 4.553, 11: 4.654, 12: 4.746, 13: 4.829, 14: 4.905, 15: 4.975, 16: 5.04, 17: 5.101, 18: 5.158, 19: 5.211, 20: 5.262}"
19,"{2: 4.046, 3: 4.669, 4: 5.054, 5: 5.334, 6: 5.553, 7: 5.735, 8: 5.889, 9: 6.022, 10: 6.141, 11: 6.246, 12: 6.342, 13: 6.43, 14: 6.51, 15: 6.585, 16: 6.654, 17: 6.719, 18: 6.78, 19: 6.837, 20: 6.891}","{2: 2.96, 3: 3.593, 4: 3.977, 5: 4.253, 6: 4.468, 7: 4.645, 8: 4.794, 9: 4.924, 10: 5.037, 11: 5.139, 12: 5.231, 13: 5.314, 14: 5.391, 15: 5.462, 16: 5.528, 17: 5.589, 18: 5.647, 19: 5.701, 20: 5.752}","{2: 2.445, 3: 3.087, 4: 3.474, 5: 3.751, 6: 3.966, 7: 4.142, 8: 4.29, 9: 4.418, 10: 4.53, 11: 4.63, 12: 4.721, 13: 4.803, 14: 4.878, 15: 4.948, 16: 5.012, 17: 5.072, 18: 5.129, 19: 5.182, 20: 5.232}"
20,"{2: 4.024, 3: 4.639, 4: 5.018, 5: 5.293, 6: 5.51, 7: 5.688, 8: 5.839, 9: 5.97, 10: 6.086, 11: 6.19, 12: 6.285, 13: 6.37, 14: 6.449, 15: 6.523, 16: 6.591, 17: 6.654, 18: 6.714, 19: 6.77, 20: 6.823}","{2: 2.95, 3: 3.578, 4: 3.958, 5: 4.232, 6: 4.445, 7: 4.62, 8: 4.768, 9: 4.895, 10: 5.008, 11: 5.108, 12: 5.199, 13: 5.282, 14: 5.357, 15: 5.427, 16: 5.492, 17: 5.553, 18: 5.61, 19: 5.663, 20: 5.714}","{2: 2.439, 3: 3.077, 4: 3.462, 5: 3.736, 6: 3.95, 7: 4.124, 8: 4.271, 9: 4.398, 10: 4.51, 11: 4.609, 12: 4.699, 13: 4.78, 14: 4.855, 15: 4.923, 16: 4.987, 17: 5.047, 18: 5.103, 19: 5.155, 20: 5.205}"
